Data Transakcji;Konto;Oddzia³; Sumy Kwot 
8.09.16;61510;150;137,06 z³
17.04.17;61520;150;287,81 z³
20.12.11;61530;150;73,81 z³
12.12.16;61540;150;44 958,00 z³
11.01.13;61550;150;149,18 z³
5.12.14;61560;150;12 086,00 z³
27.07.16;61570;150;191,37 z³
30.03.15;62010;150;786,93 z³
6.08.10;62020;150;708,66 z³
5.05.12;62099;150;30,79 z³
28.04.13;62510;120;101,07 z³
3.04.16;62520;120;29,46 z³
21.08.15;62530;120;14,20 z³
28.02.13;62550;120;42 673,00 z³
8.07.16;62560;120;0,44 z³
10.07.13;63050;150;96,93 z³
22.05.17;63060;150;36 220,00 z³
7.01.10;64000;150;343,82 z³
24.05.10;64010;150;93,31 z³
19.02.13;64020;150;8,00 z³
9.08.14;65540;110;270,74 z³
28.10.15;65550;110;76,63 z³
12.12.14;65590;110;42,12 z³
19.11.09;65600;110;58,28 z³
28.10.16;65690;110;42,23 z³
6.11.15;65700;110;17,41 z³
21.03.13;65710;110;842,91 z³
17.06.16;65730;110;22,50 z³
9.04.11;65740;110;626,79 z³
26.12.12;65750;110;954,73 z³
23.10.09;65760;110;14 855,00 z³
6.12.15;65900;170;33,75 z³
23.11.14;66010;130;46 966,00 z³
10.08.14;66020;130;79,43 z³
17.04.14;66030;130;0,86 z³
10.04.16;66040;130;13 940,00 z³
22.01.15;66050;130;61,13 z³
23.02.13;66070;130;41 426,00 z³
30.12.16;66080;130;23 132,00 z³
19.11.16;66100;130;42 651,00 z³
26.09.14;66110;130;0,90 z³
29.03.11;66120;130;13 940,00 z³
19.05.13;66130;130;109,69 z³
5.10.13;66510;140;42 425,00 z³
19.11.13;66520;140;23,40 z³
3.07.14;66530;140;23,40 z³
5.08.09;68050;170;16 224,00 z³
18.02.12;61510;150;39,11 z³
18.02.15;61520;150;103,63 z³
22.04.11;61530;150;31,23 z³
19.06.11;61540;150;11 355,00 z³
26.10.11;61550;150;97,40 z³
28.08.13;61560;150;26 054,00 z³
15.03.10;61570;150;104,15 z³
15.11.15;62010;150;503,08 z³
22.09.17;62020;150;214,60 z³
13.01.17;62030;150;0,34 z³
15.07.12;62099;150;13,78 z³
19.11.15;62510;120;81,73 z³
7.01.16;62520;120;28,46 z³
18.08.17;62530;120;13,61 z³
5.07.14;62550;120;27,83 z³
19.10.12;62560;120;8,00 z³
19.11.12;63050;150;18 264,00 z³
15.01.13;64000;150;162,76 z³
25.04.15;64010;150;23 682,00 z³
14.09.16;64020;150;14 702,00 z³
23.10.12;65540;110;331,10 z³
24.10.14;65550;110;35,71 z³
11.11.09;65570;110;16 103,00 z³
2.06.12;65590;110;33,51 z³
30.11.15;65600;110;167,23 z³
30.06.17;65610;110;23,99 z³
30.03.16;65660;110;21 520,00 z³
28.12.16;65690;110;35,67 z³
11.06.10;65700;110;159,85 z³
23.10.09;65710;110;492,36 z³
3.12.15;65730;110;44 105,00 z³
8.02.15;65740;110;329,57 z³
5.12.10;65750;110;436,71 z³
13.07.13;65760;110;13 181,00 z³
12.09.09;65770;110;0,44 z³
16.08.13;65900;170;48,94 z³
27.07.15;66010;130;23 071,00 z³
1.08.09;66020;130;137,55 z³
28.08.17;66030;130;26 299,00 z³
14.06.13;66040;130;25 689,00 z³
8.08.17;66050;130;30,18 z³
8.05.12;66070;130;22 098,00 z³
23.03.11;66080;130;23 012,00 z³
6.01.16;66090;130;31 199,00 z³
21.11.16;66100;130;27 089,00 z³
22.09.10;66110;130;0,45 z³
26.03.17;66120;130;43 101,00 z³
4.03.15;66130;130;53,34 z³
29.11.11;66510;140;42 668,00 z³
5.02.17;66520;140;25,32 z³
29.11.10;66530;140;18,27 z³
17.10.11;66550;140;22 586,00 z³
31.07.12;68050;170;0,02 z³
10.11.16;61510;150;36,41 z³
18.08.10;61520;150;96,48 z³
22.11.13;61530;150;42 611,00 z³
25.10.15;61540;150;42 036,00 z³
8.12.11;61550;150;90,68 z³
17.10.14;61560;150;11 444,00 z³
5.12.16;61570;150;96,97 z³
15.03.14;62010;150;468,38 z³
3.07.12;62020;150;199,80 z³
12.06.15;62030;150;0,32 z³
2.09.16;62099;150;30 651,00 z³
14.09.10;62510;120;76,10 z³
15.06.15;62520;120;26,49 z³
2.03.10;62530;120;24 807,00 z³
5.10.12;62550;120;25,91 z³
24.09.16;62560;120;16 254,00 z³
12.04.11;63050;150;14 246,00 z³
4.11.16;64000;150;151,53 z³
13.09.17;64010;150;30 956,00 z³
9.10.12;64020;150;42 647,00 z³
13.01.15;65540;110;308,26 z³
21.04.12;65550;110;33,25 z³
18.10.10;65570;110;46 419,00 z³
27.11.15;65590;110;31,20 z³
7.09.13;65600;110;155,70 z³
18.01.16;65610;110;22,34 z³
21.04.16;65660;110;26 238,00 z³
13.04.11;65690;110;33,21 z³
10.06.10;65700;110;148,83 z³
25.10.10;65710;110;458,40 z³
22.12.13;65730;110;18 142,00 z³
11.10.09;65740;110;306,84 z³
19.02.13;65750;110;406,59 z³
27.04.14;65760;110;43 497,00 z³
27.02.10;65770;110;0,41 z³
22.04.10;65900;170;45,56 z³
22.09.16;66010;130;13 940,00 z³
30.04.16;66020;130;128,06 z³
17.06.17;66030;130;21 916,00 z³
10.08.10;66040;130;11 444,00 z³
25.04.16;66050;130;42 671,00 z³
12.06.14;66070;130;42 589,00 z³
27.03.14;66080;130;18 994,00 z³
18.06.16;66090;130;14 032,00 z³
24.08.15;66100;130;17 593,00 z³
28.06.10;66110;130;0,42 z³
23.02.12;66120;130;42 644,00 z³
4.11.15;66130;130;49,66 z³
8.04.14;66510;140;23,37 z³
19.09.10;66520;140;23,57 z³
30.07.10;66530;140;42 386,00 z³
30.08.11;66550;140;29 860,00 z³
24.10.14;68050;170;0,02 z³
30.10.10;61510;150;36,41 z³
1.04.12;61520;150;96,48 z³
9.09.17;61530;150;42 611,00 z³
21.06.10;61540;150;42 036,00 z³
3.05.16;61550;150;90,68 z³
16.10.13;61560;150;11 444,00 z³
10.02.17;61570;150;96,97 z³
11.09.15;62010;150;468,38 z³
15.04.12;62020;150;199,80 z³
25.08.15;62030;150;0,32 z³
30.05.16;62099;150;30 651,00 z³
7.10.12;62510;120;76,10 z³
29.08.13;62520;120;26,49 z³
5.06.17;62530;120;24 807,00 z³
1.04.10;62550;120;25,91 z³
2.10.13;62560;120;16 254,00 z³
1.04.13;63050;150;14 246,00 z³
28.12.12;64000;150;151,53 z³
12.05.13;64010;150;30 956,00 z³
9.09.11;64020;150;42 647,00 z³
5.11.14;65540;110;308,26 z³
5.03.11;65550;110;33,25 z³
19.03.12;65570;110;46 419,00 z³
14.04.17;65590;110;31,20 z³
4.01.17;65600;110;155,70 z³
13.04.11;65610;110;22,34 z³
15.12.16;65660;110;26 238,00 z³
10.10.14;65690;110;33,21 z³
17.09.14;65700;110;148,83 z³
10.11.09;65710;110;458,40 z³
22.04.14;65730;110;18 142,00 z³
2.07.16;65740;110;306,84 z³
31.05.17;65750;110;406,59 z³
17.11.12;65760;110;43 497,00 z³
14.01.10;65770;110;0,41 z³
31.10.14;65900;170;45,56 z³
19.05.13;66010;130;13 940,00 z³
20.02.14;66020;130;128,06 z³
27.07.09;66030;130;21 916,00 z³
11.09.16;66040;130;11 444,00 z³
27.07.10;66050;130;42 671,00 z³
15.06.13;66070;130;42 589,00 z³
16.08.14;66080;130;18 994,00 z³
2.07.11;66090;130;14 032,00 z³
24.09.11;66100;130;17 593,00 z³
26.06.11;66110;130;0,42 z³
3.05.14;66120;130;42 644,00 z³
4.06.16;66130;130;49,66 z³
29.07.17;66510;140;23,37 z³
9.09.13;66520;140;23,57 z³
17.09.12;66530;140;42 386,00 z³
30.04.10;66550;140;29 860,00 z³
3.12.11;68050;170;0,02 z³
11.06.15;61510;150;36,41 z³
13.06.16;61520;150;96,48 z³
16.05.17;61530;150;42 611,00 z³
14.09.15;61540;150;42 036,00 z³
8.08.09;61550;150;90,68 z³
15.03.17;61560;150;11 444,00 z³
15.06.10;61570;150;96,97 z³
25.09.13;62010;150;468,38 z³
6.07.15;62020;150;199,80 z³
18.05.16;62030;150;0,32 z³
4.09.10;62099;150;30 651,00 z³
5.12.15;62510;120;76,10 z³
22.05.11;62520;120;26,49 z³
2.11.11;62530;120;24 807,00 z³
15.12.16;62550;120;25,91 z³
31.10.13;62560;120;16 254,00 z³
14.04.15;63050;150;14 246,00 z³
23.04.16;64000;150;151,53 z³
4.12.15;64010;150;30 956,00 z³
3.01.11;64020;150;42 647,00 z³
8.08.11;65540;110;308,26 z³
1.05.10;65550;110;33,25 z³
13.10.13;65570;110;46 419,00 z³
5.06.13;65590;110;31,20 z³
5.01.13;65600;110;155,70 z³
26.09.11;65610;110;22,34 z³
18.10.15;65660;110;26 238,00 z³
27.03.10;65690;110;33,21 z³
21.12.16;65700;110;148,83 z³
26.06.10;65710;110;458,40 z³
3.02.13;65730;110;18 142,00 z³
8.01.14;65740;110;306,84 z³
23.07.09;65750;110;406,59 z³
18.01.13;65760;110;43 497,00 z³
6.03.14;65770;110;0,41 z³
15.04.13;65900;170;45,56 z³
4.05.13;66010;130;13 940,00 z³
16.11.15;66020;130;128,06 z³
